timestamp,balance,drawdown
,1000.0,0.0
2026-01-01 01:24:00+00:00,1008.0,0.0
2026-01-01 01:25:00+00:00,1016.064,0.0
2026-01-01 01:26:00+00:00,1024.1925119999999,0.0
2026-01-01 01:27:00+00:00,1032.386052096,0.0
2026-01-01 01:28:00+00:00,1040.645140512768,0.0
2026-01-01 01:29:00+00:00,1048.97030163687,0.0
2026-01-01 01:30:00+00:00,1057.362064049965,0.0
2026-01-01 01:31:00+00:00,1065.8209605623647,0.0
2026-01-01 01:32:00+00:00,1074.3475282468637,0.0
2026-01-01 01:33:00+00:00,1082.9423084728387,0.0
2026-01-01 01:34:00+00:00,1091.6058469406214,0.0
2026-01-01 01:35:00+00:00,1100.3386937161463,0.0
2026-01-01 01:36:00+00:00,1109.1414032658754,0.0
2026-01-01 01:37:00+00:00,1118.0145344920024,0.0
2026-01-01 01:38:00+00:00,1126.9586507679385,0.0
2026-01-01 01:39:00+00:00,1135.974319974082,0.0
2026-01-01 01:40:00+00:00,1145.0621145338746,0.0
2026-01-01 01:41:00+00:00,1154.2226114501457,0.0
2026-01-01 01:42:00+00:00,1163.4563923417468,0.0
2026-01-01 01:43:00+00:00,1172.7640434804807,0.0
2026-01-01 01:44:00+00:00,1182.1461558283245,0.0
2026-01-01 01:45:00+00:00,1191.603325074951,0.0
2026-01-01 01:46:00+00:00,1201.1361516755508,0.0
2026-01-01 01:47:00+00:00,1210.745240888955,0.0
2026-01-01 01:48:00+00:00,1220.4312028160668,0.0
2026-01-01 01:49:00+00:00,1230.1946524385953,0.0
2026-01-01 01:50:00+00:00,1240.036209658104,0.0
2026-01-01 01:51:00+00:00,1249.956499335369,0.0
2026-01-01 01:52:00+00:00,1259.956151330052,0.0
2026-01-01 01:53:00+00:00,1270.0358005406924,0.0
2026-01-01 01:54:00+00:00,1280.196086945018,0.0
2026-01-01 01:55:00+00:00,1290.437655640578,0.0
2026-01-01 01:56:00+00:00,1300.7611568857026,0.0
2026-01-01 01:57:00+00:00,1311.1672461407882,0.0
2026-01-01 01:58:00+00:00,1321.6565841099145,0.0
2026-01-01 01:59:00+00:00,1332.2298367827939,0.0
